시도,시군구,지정번호,업소명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,주요메뉴,업태,비고,데이터 기준일자
강원도,춘천시,3,명가막국수,강원도춘천시신북읍상천3길8,강원도춘천시신북읍천전리397,37.9329434,127.7918831,0332418443,막국수,한식,null,20180125
강원도,춘천시,13,통나무집닭갈비,강원도춘천시신북읍신샘밭로763,강원도춘천시신북읍천전리3826,37.9330983,127.7933684,0332415999,닭갈비막국수,식육숯불구이,null,20180125
강원도,춘천시,31,쟈스민,강원도춘천시우묵길74번길14,강원도춘천시퇴계동11594,37.8668441,127.7245226,0332415453,중국요리,중식,null,20180125
강원도,춘천시,51,하주골,강원도춘천시동면만천로163,강원도춘천시동면만천리8074,37.8833801,127.7566139,0332437963,한정식,한식,null,20180125
강원도,춘천시,96,샘밭막국수,강원도춘천시신북읍신샘밭로644,강원도춘천시신북읍천전리11811,37.9295296,127.7810361,0332421702,막국수,한식,null,20180125
강원도,춘천시,126,곰배령,강원도춘천시춘천로19,강원도춘천시온의동582,37.8668787,127.7212173,0332555500,한정식,한식,null,20180125
강원도,춘천시,145,본관남부막국수,강원도춘천시춘천로81번길16,강원도춘천시약사동150,37.8722621,127.7242979,0332547859,막국수빈대떡,한식,null,20180125
강원도,춘천시,146,별당막국수,강원도춘천시춘천로81번길15,강원도춘천시약사동1517,37.8720454,127.7240483,0332510385,막국수편육,한식,null,20180125
강원도,춘천시,147,학곡리막국수닭갈비,강원도춘천시공지로29,강원도춘천시석사동11632,37.8710388,127.7317211,0332619478,막국수닭갈비,식육숯불구이,null,20180125
강원도,원주시,55,오색막국수,강원도원주시흥양로92,강원도원주시태장동5332,37.3830348,127.9571208,0337448392,막국수,한식,null,20180125
강원도,원주시,71,고려원,강원도원주시행가리1길14,강원도원주시무실동11083,37.3223146,127.9177327,0337661569,한정식,한식,null,20180125
강원도,원주시,83,제주본가,강원도원주시소초면흥양로240,강원도원주시소초면흥양리16196,37.3811677,127.9719562,0337322488,한정식생갈비,한식,null,20180125
강원도,원주시,137,청정고을명가,강원도원주시갈촌길126,강원도원주시관설동1638,37.3097507,127.9611592,0337657900,한식,한식,null,20180125
강원도,강릉시,72,바우하우스,강원도강릉시사천면덕실안길106,강원도강릉시사천면덕실리281,37.8180362,128.8498776,0336410322,경양식,경양식,null,20180125
강원도,강릉시,87,머구리횟집,강원도강릉시창해로19,강원도강릉시견소동26820,37.7731419,128.9440536,0336522591,생선회,회집,null,20180125
강원도,강릉시,101,삼교리동치미막국수교동점,강원도강릉시경포로15번길619,강원도강릉시지변동6711,37.7725818,128.8779048,0336423935,막국수편육,분식,null,20180125
강원도,강릉시,102,한정식좋구먼,강원도강릉시구정면생길목길368,강원도강릉시구정면학산리5003,37.7145754,128.8895251,0336421707,한정식,한식,null,20180125
강원도,강릉시,111,강문어화횟집,강원도강릉시창해로348,강원도강릉시강문동15934,37.7944601,128.9187743,0336530025,생선회,회집,null,20180125
강원도,강릉시,133,본터웰빙산채오리,강원도강릉시범일로457,강원도강릉시내곡동751,37.7453818,128.8843631,0336525785,능이백숙오리웰빙산채오리,식육숯불구이,null,20180125
강원도,강릉시,142,허허사랑,강원도강릉시위촌길29,강원도강릉시홍제동6022,37.7582187,128.8624199,0336512151,단호박오리구이단호박해물구이,식육숯불구이,null,20180125
강원도,강릉시,148,해물섬,강원도강릉시정원로7419,강원도강릉시교동189410,37.7643766,128.8739853,0336477922,해물찜아구찜,한식,null,20180125
강원도,강릉시,153,정혜영쿡,강원도강릉시사천면본동길242,강원도강릉시사천면사천진리99,37.8318565,128.8718589,0336476268,스테이크유기농샐러드,경양식,2018신규,20180125
강원도,강릉시,154,강릉뚝배기,강원도강릉시남부로5,강원도강릉시내곡동328,37.7402774,128.8819277,0336459825,국밥갈비탕,한식,2018신규,20180125
강원도,동해시,75,영빈관,강원도동해시한섬로1353,강원도동해시천곡동8341,37.5194692,129.1091542,0335338585,생선회,일식,null,20180125
강원도,동해시,119,장수왕갈비,강원도동해시청운3길561,강원도동해시쇄운동8011,37.4848214,129.1006559,0335211484,돼지갈비,식육숯불구이,null,20180125
강원도,동해시,144,산장가든,강원도동해시초구길623,강원도동해시초구동222,37.5702709,129.0880508,0335343636,오리누룽지백숙오리더덕구이,한식,null,20180125
강원도,동해시,149,대밭골,강원도동해시숫골길9630,강원도동해시용정동3052,37.5074875,129.1146472,0335328194,능이오리백숙산야초오리백숙유황오리훈제찜,한식,null,20180125
강원도,동해시,150,사랑채,강원도동해시평릉길522,강원도동해시평릉동251,37.5305881,129.1012127,0335329400,갈비살돌솥밥정식불고기정식,식육숯불구이,null,20180125
강원도,태백시,42,경포횟집,강원도태백시고원로71,강원도태백시황지동21924,37.1608448,128.9892865,0335533123,생선회,회집,null,20180125
강원도,태백시,138,기와집갈비,강원도태백시짐대배기2길4,강원도태백시황지동187,37.1557103,128.9875653,0335536645,돼지갈비,한식,null,20180125
강원도,속초시,10,한송정가든,강원도속초시싸리재길250,강원도속초시노학동4524,38.1860163,128.5601857,0336367750,갈비얼갈이냉면,식육숯불구이,null,20180125
강원도,속초시,103,다원,강원도속초시중앙로18412,강원도속초시중앙동46810,38.2070173,128.5918624,0336356400,회매운탕,회집,null,20180125
강원도,속초시,151,청초수물회섭국,강원도속초시엑스포로1길14,강원도속초시조양동15517,38.1909557,128.5887426,0336355050,물회섭국,회집,null,20180125
강원도,속초시,155,황대구탕본관,강원도속초시관광로374,강원도속초시노학동74676,38.1937964,128.5393954,0336353989,생대구탕물곰탕,한식,2018신규,20180125
강원도,삼척시,67,구름다리,강원도삼척시청석로1길1029,강원도삼척시교동7662,37.4472755,129.1722764,0335723300,산채백반,한식,null,20180125
강원도,삼척시,113,부일막국수,강원도삼척시평등길7,강원도삼척시등봉동11,37.4431605,129.1342281,0335721277,막국수,분식,null,20180125
강원도,삼척시,121,한식당해밀,강원도삼척시오십천로15522,강원도삼척시자원동1371,37.4420071,129.1371511,0335731678,한정식,한식,null,20180125
강원도,삼척시,156,명가해물,강원도삼척시진주로501,강원도삼척시당저동626,37.4453246,129.1640831,0335739950,5종생선조림간장새우장,한식,2018신규,20180125
